Source,NSSmodel,RA_ICRS,DE_ICRS,Per,Tperi,ecc,Vcm,K1,omega,Flags,_RA.icrs,_DE.icrs
1008633250826288256,SB1,91.27018309151,65.12144000747,2.94391066179445771,-0.238894087179119,0.0948172099762233100,10.909670538032,36.03674589167717102,54.946897157249,0,91.27018309151,65.12144000747
1017945049160345600,SB1,141.44856727826,49.45417685845,3.32557655017743148,0.181461735188304,0.0654386642486240594,-7.042859393359,38.56414855477048320,350.54804605708,0,141.44856727826,49.45417685845
1035063002096359680,SB1,123.49154282231,57.26596346829,2.02250892054535081,0.661221019189562,0.0693288195857996864,-26.614631027535,41.29081686833580989,353.59266828294,0,123.49154282231,57.26596346829
1070123026291382144,SB1,146.25361872674,68.78515881966,2.87964549471693143,1.18892665734711,0.0218759962364278096,-9.3586641636251,27.04296157020186087,285.69680148436,0,146.25361872674,68.78515881966
1093318701548868096,SB1,127.39487097585,66.00026836350,5.26048075803857529,2.54090385488715,0.1343826110479313385,-25.419731161482,20.40736794419342104,195.58616105021,0,127.39487097585,66.00026836350
1127909715314129536,SB1,153.90269768069,76.69841358644,6.15094425039628856,-1.65823699674446,0.0184990345576730060,-0.12128928404402,52.88311895623635905,120.82231709768,0,153.90269768069,76.69841358644
1137726326927058560,SB1,129.60702370797,76.92445245868,2.22710619884924732,-0.819266479198196,0.1401114946837836162,-0.081065613559664,20.77627596350531647,111.32987578444,0,129.60702370797,76.92445245868
1141769093744241536,SB1,110.90264691584,79.13239103210,13.21727689064578470,1.0681006967691,0.0699847338879197867,24.588397320073,19.05065809576686320,279.50744730586,0,110.90264691584,79.13239103210
1144238528139961600,SB1,133.59913453482,79.68141631771,2.93547463379471729,-1.41378426866398,0.0046474310185298465,50.3959986589,55.09486622683426305,218.57979137283,0,133.59913453482,79.68141631771
1220409189020551808,SB1,238.80128243579,26.48652089928,12.96839773990794420,-1.73421773216831,0.3491264886005542856,-31.940682997577,38.81830823765301375,210.60503217231,0,238.80128243579,26.48652089928
122489551000566656,SB1,49.13676552916,30.02890932659,2.19806854089638781,0.624671433101563,0.0170008509196451010,14.760527350874,32.37869734162902802,32.873166638067,0,49.13676552916,30.02890932659
1295254010673349888,SB1,225.69225798091,37.91003128777,0.90637964315650499,0.42656757251671,0.1069816222764285035,4.5099280478427,41.13562438337602600,222.47166775508,0,225.69225798091,37.91003128777
1329183358958814208,SB1,246.15772872120,34.95670603048,9.40597225494234479,-0.551339187430092,0.3676212604512349436,-26.179448084328,16.58905467957805513,56.120264054031,0,246.15772872120,34.95670603048
1333162251022354048,SB1,258.39735724147,30.71001509710,2.26697263051834064,-0.539419539200913,0.0657553872892925328,-63.92072165673,43.23345491020386078,20.861989147597,0,258.39735724147,30.71001509710
1340689198387514112,SB1,259.20825460003,38.36634263006,1.47248562560087959,0.0350834987927827,0.1736763601681154956,-59.935412724356,47.00157517490189463,312.50489756346,0,259.20825460003,38.36634263006
1346411194338424704,SB1,268.30306030432,43.77302839791,1.30585445216001950,-0.252347212444142,0.1419558001805860392,6.2409984140696,41.71443201324736805,169.08616158043,0,268.30306030432,43.77302839791
